floor1,prob_reach_floor1,prob_complete_after_floor1,floor1_2,prob_reach_floor1_2,prob_complete_after_floor1_2,floor1_2_3,prob_reach_floor1_2_3,prob_complete_after_floor1_2_3,total,,,floor1,floor1_2,floor1_2_3
520,0.01473,0.0943687944150022,993,0.01686,0.142294634451345,1552,0.00299,0.5952,2234,,,,,
510,0.00442,0.125090875668474,967,0.00174,0.272186362948228,1563,0.00557,0.49641,2280,,,,,
518,0.01168,0.10004136818048,994,0.01817,0.138256156118922,1560,0.00466,0.50116,2283,,,,,
523,0.01974,0.0862915094774789,958,0.0006,0.326793881986078,1526,0.00051,0.80044,2223,,,,,
516,0.00914,0.105947560544889,984,0.00842,0.181956995921733,1553,0.00318,0.59378,2300,,,,,
527,0.02903,0.0763092778586665,937,0.00008,0.465217734587967,1583,0.01589,0.30283,2270,,,,,
508,0.00337,0.131952420111913,968,0.00194,0.266378594648863,1571,0.00887,0.40015,2283,,,,,
535,0.05631,0.0589208016905911,988,0.01143,0.163596936174249,1539,0.0014,0.68915,2281,,,,,
525,0.02404,0.0811894600154765,979,0.00536,0.206511311307996,1571,0.00887,0.40015,2293,,,,,
523,0.01974,0.0862915094774789,1007,0.04063,0.0924632563358347,1580,0.0138,0.30675,2226,,,,,
532,0.04445,0.0650518092384121,991,0.01452,0.150594000985042,1520,0.00027,0.83244,2227,,,,,
526,0.02635,0.0787218852982478,988,0.01143,0.163596936174249,1592,0.0238,0.21899,2299,,,,,
535,0.05631,0.0589208016905911,1008,0.04292,0.0894473610214943,1590,0.02181,0.22131,2277,,,,,
526,0.02635,0.0787218852982478,978,0.00487,0.211630041054027,1547,0.00227,0.64148,2299,,,,,
532,0.04445,0.0650518092384121,983,0.00772,0.186727058016664,1604,0.0396,0.12314,2246,,,,,
520,0.01473,0.0943687944150022,977,0.00455,0.216816332057146,1580,0.0138,0.30675,2267,,,,,
516,0.00914,0.105947560544889,1008,0.04292,0.0894473610214943,1551,0.00281,0.5966,2243,,,,,
